000000000333.jpg#0	Terdapat tiga buah bantal yang bercorak diatas sofa yang berwarna merah hati .
000000101420.jpg#4	Di depan terdapat selimut berwarna kuning yang diatasnya terdapat kucing yang sedang melihat keluar jendela .
000000104666.jpg#0	Di pojok kanan terdapat sebuah yang ditaruh di sandaran papan tulis lukisan tersebut bergambar seorang wanita yang .
000000104666.jpg#1	Di sisi kiri terdapat sebuah rak buku berwarna cokelat yang dipenuhi dengan berbagai macam buku .
000000104666.jpg#2	Di depan terdapat tiga alat musik yaitu dua gitar listrik dan satu bass listrik .
000000104666.jpg#3	Di pojok kanan televisi tabung berwarna hitam yang ditaruh diatas sebuah meja kayu kecil yang berbentuk segi empat .
000000104666.jpg#4	Terdapat lantai yang bercorak kayu dengan pola persegi panjang dan diatasnya terdapat sebuah karpet merah berbentuk segi empat .
000000112626.jpg#0	Terdapat sebuah koper berbentuk segi empat dengan warna abu-abu dan memiliki empat buah roda dibawahnya .
000000112626.jpg#1	Di depan terdapat sebuah sofa berbentuk persegi panjang dengan kover yang berwarna kecokelatan .
000000112626.jpg#2	Di depan terdapat dinding yang memiliki dua warna yang kontras yaitu putih dan cokelat muda .
000000112626.jpg#3	Terdapat lantai berwarna cokelat tua yang bermotifkan serat kayu .
000000112626.jpg#4	Di sisi kiri terdapat sebuah meja kecil berwarna hitam yang digunakan untuk menaruh beberapa barang seperti botol minum, dan buku .
000000115870.jpg#0	Terdapat lima orang didalam ruangan tersebut yaitu tiga orang laki-laki dan dua orang perempuan .
000000115870.jpg#1	Terdapat sebuah meja kayu kecil berbentuk persei di tengah ruangan diatasnya terdapat pot bunga, keranjang yang terbuat dari anyaman bambu, telepon saluler dan beberapa buku .
000000115870.jpg#2	Di depan terdapat sebuah pintu dan dua jendela yang memeliki bentuk segi empat dan terbuat dari kayu yang menghadap ke popohonan .
000000115870.jpg#3	Terdapat sofa yang panjang dan berbentuk seperti huruf L dan diatasnya terdapat tiga orang yang sedang duduk sembari menulis dan berbai telepon saluler .
000000115870.jpg#4	Terdapat dua orang yang sedang berdiri yaitu pria dan wanita. sang pria terlihat sedang menonton televisi sedangkan sang wanita sedang melihat pemandangan diluar melalui jendela kaca .
000000128148.jpg#0	Terdapat dua buah sofa berwarna cokelat berbahan kulit dan diatasnya terdapat sebuah buku .
000000128148.jpg#1	Di sisi kiri terdapat sebuah rak buku kayu tinggi berbentuk segi empat dengan banyak buku didalamnya .
000000128148.jpg#2	Di sisi kanan terdapat sebuah televisi tabung berwarna abu-abu yang ditempatkan diatas meja kecil berwarna putih .
000000128148.jpg#3	Di depan terdapat sebuah ruangan berwarna merah muda dengan berbagai macam barang didalamnya seperti pot bunga, alat pemanggang dan jemuran kecil berwarna putih .
000000128148.jpg#4	Di pojok kiri bawah terdapat sebuah penyedot debu berwarna putih dengan selang berwarna abu-abu yang tergeletak di lantai .
000000153527.jpg#0	Terdapat beberapa kapak yang ditaruh dibeberapa balok kayu di pinggir jalan .
000000153527.jpg#1	Terdapat halaman yang dipenuhi rerumputan dan juga kursi-kursi yang tidak terpakai .
000000153527.jpg#2	Di depan terdapak tembok yang dipenuhi dengan banyak coretan grafiti dengan berbagai macam bentuk dan warna .
000000153527.jpg#3	Di sisi kiri terdapat trotoar yang dipenuhi dengan berbagai macam sampah seperti botol minum, kantung plastik, dan beberapa ranting kayu .
000000153527.jpg#4	Di depan terdapat sebuah rambu yang bergambar dua arah panah yang saling berlawanan dengan warna hitam dan merah .
000000166478.jpg#0	Terdapat seorang pria yang duduk di sofa kulit yang berwarna merah sembari memainkan laptop dan menggunakan telepon .
000000166478.jpg#1	Di depan terdapat sebuah lemari kayu dengan beberapa pot bunga berwarna putih diatasnya .
000000166478.jpg#2	Di sisi kanan terdapat sebuah lampu berbentuk seperti bola berwarna putih dengan gagang berwarna hitam .
000000166478.jpg#3	Di depan terdapat dinding dengan warna putih polos dan tidak ada hiasan tembok yang menempel .
000000166478.jpg#4	Di sisi kiri terdapat sebuah tas berbahan kulit yang berwarna hitam .
000000166521.jpg#0	Di depan terdapat dua buah televisi yaitu satu buah televisi LED dan satu buah televisi tabung dan masing-masing berwarna hitam .
000000166521.jpg#1	Terdapat rak buku yang terisi dengan berbagai macam buku didalamnya dan juga digunakan sebagai tempat untuk menaruh televisi dan beberapa hiasan seperti lampu dan boneka kayu .
000000166521.jpg#2	Di sisi kanan terdapat sebuah sofa berwarna biru tua diatasnya terdapat sebuah selimut berwarna merah hati yang berantakan .
000000166521.jpg#3	Di sisi kiri terdapat sebuah pintu, ditepi pintu tersebut dipasang lampu warna-warni yang berbentuk seperti tumbuhan merambat .
000000166521.jpg#4	Di sisi kiri terdapat sebuah dapur yang dipenuhi dengan barang-barang yang terbuat dari kayu seperti meja, kursi dan kabinet .
000000170099.jpg#0	Seorang pria memakai kemja berwana putih dan dasi merah sedang berdiri mempresentasikan suatu lukisan .
000000170099.jpg#1	Terdapat sebuah lukisan bergambar sofa berwarna oranye dan diatasnya terdapat bantal yang terdiri bantal berwarna merah, putih, dan oranye .
000000170099.jpg#2	Di depan terdapat tirai yang berwarna hijau tua dengan motif bunga .
000000170099.jpg#3	Terdapat gambar sebuah gedung yang dikelilingi dengan kawat berduri .
000000170099.jpg#4	Terdapat sebuah easel berwarna putih yang digunakan untuk menaruh sebuah gambar .
000000182162.jpg#0	Terdapat sebuah sofa berwarna hitam berbahan kulit diatasnya terdapat bantal dan juga tas .
000000182162.jpg#1	Di sudut kiri terdapat sebuah rak buku berbentuk segi empat berwarna hitam dan didalamnya terisi dengan berbagai macam buku .
000000182162.jpg#2	Di sisi kiri terdapat sebuah meja kayu berwarna hitam diatasnya terdapat beberapa barang seperti remot televisi, laptop dan juga dompet .
000000182162.jpg#3	Di depan terdapat sebuah meja kecil berbahan kaca diatasnya terdapat sebuah lampu meja beberbentuk kerucut dan juga ada beberapa balon diatasnya .
000000182162.jpg#4	Di depan terdapat sebuah lukisan yang bergambar sebuah bangunan di tengah laut .
000000189806.jpg#0	Terdapat seekor kucing berwana kembang telon dan anjing berwarna hitam putih sedang bermain di lantai .
000000189806.jpg#1	Di depan terdapat sebuah pintu terbuka yang menuju ke ruang bawah tanah .
000000189806.jpg#2	Di sisi kanan terdapat sebuah meja kayu berbentuk segi empat diatasnnya terdapat liin dan remot televisi .
000000189806.jpg#3	Di depan bawah terdapat sebuah lemari es berbentuk segi empat berwarna biru putih .
000000189806.jpg#4	Di sudut kiri terdapat sebuah kipas angin berbentuk segi empat dan berwarna putih .
000000213445.jpg#0	Seekor kucing berbulu cokelat dan putih sedang duduk di sebuah piring berbahan kayu .
000000213445.jpg#1	Di depan terdapat beberapa rak buku kayu yang didalamnya terisi dengan berbagai macam buku .
000000213445.jpg#2	Di depan terdapat sebuah sofa berwarna cokelah yang dipenuhi dengan motif tumbuhan diatasnya terdapat bantal berwarna putih .
000000213445.jpg#3	Di bawah terdapat sebuah karpet berwarna hitam yang dipenuhi dengan motif bunga .
000000213445.jpg#4	Di depan terdapat sebuah kursi kayu yang sandarannya bermotif belah ketupat dan memeliki warna yang beragam .
000000222317.jpg#0	Di depan terdapat seekor anjing berwarna cokelat sedang berbaring di atas sofa sofa yang berwarna biru .
000000222317.jpg#1	Di depan terdapat jendela berbentuk segi emmpat berwarna putih dengan tirai yang sedikit terbuka .
000000222317.jpg#2	Di sisi kiri terdapat sebuah tembok yang terbuat dari kayu dan memiliki warna cokelat .
000000222317.jpg#3	Di depan bawah terdapat karpet yang berwarna abu-abu dan hijau .
000000222317.jpg#4	Terdapat sebuah sofa berwarna biru diatasnya terdapat beberapa selimut dan seekor anjing yang sedang berbaring .
000000233825.jpg#0	Di depan terdapat sebuah meja berbentuk lingkaran yang terbuat dari kaca diatasnya terdapat bunga yang berwarna merah muda 
000000233825.jpg#1	Di sisi kanan terdapat sebuah rak buku beebentuk segi empat yang didalamnya terdapat berbagai macam buku dan diatasnya terdapat berbagai hiasan seperti patung dan vas bunga .
000000233825.jpg#2	Di sisi kanan terdapat sebuah televisi LED berbentuk segi empat dan berwarna hitam .
000000233825.jpg#3	Di depan terdapat tiga buah jendela berbentuk segi empat dan memiliki warna putih .
000000233825.jpg#4	Di sisi kiri terdapat sebuah sofa berwarna hijau dan diatasnya terdapat beberapa bantal berwarna cokelat dan garis-garis .
000000261706.jpg#0	Terdapat seekor kucing berwarna hitam putih yang sedang berbaring di sofa .
000000261706.jpg#1	Terdapat sebuah bantal bercorak di atas sofa .
000000261706.jpg#2	Di sisi kiri terdapat kaki seseorang yang memakai celana berwarna putih .
000000261706.jpg#3	Terdapat sebuah sofa berwarna cokelat yang sedang digunakan untuk bersantai bersama kucing .
000000261706.jpg#4	Tedapat sebuah remot televisi berwarna abu-abu yang terjepit diantara badan kucing dan sofa .
000000319100.jpg#0	Di depan terdapat seorang pria dan wanita yang sedang duduk di sofa seraya memegang sebuah remot .
000000319100.jpg#1	Terdapat sebuah sofa yang memeliki corak kotak-kotak dan diatasnya terdapat dua buah bantal berwarna cokelat .
000000319100.jpg#2	Di sisi kanan terdapat sebuah lampu meja yang menyala dan memiliki bentuk kerucut .
000000319100.jpg#3	Di sisi kanan bawah terdapat sebuah televisi tabung berwarna abu-abu yang ditaruh di bawah meja .
000000319100.jpg#4	Di depan terdapat berapa lukisan yang dipajang di tembok yang berwarna putih .
000000322895.jpg#0	Terdapat dua buah sofa berwarna putih satu sofa berwarna merah dan satu sofa berwarna abu-abu .
000000322895.jpg#1	Di depan tedapat sebuah bufet berwarna cokelat muda diatasnya terdapat sebuah televisi LED dan sebuah vas bunga .
000000322895.jpg#2	Di sisi kanan terdapat jendela dengan bentuk segi empat dan memiliki tirai berwarna putih yang menutupinya .
000000322895.jpg#3	Di depan terdapat sebuah meja kayu berbentuk segi empat dengan sebuah hiasan mangkuk diatasnya .
000000322895.jpg#4	Terdapat tembok berwarna putih dan tidak ada hiasan ataupun lukisan yang ditempel .
000000344621.jpg#0	Di depan terdapat sofa bermotif kotak-kotak dan satu sofa berwarna merah .
000000344621.jpg#1	Di depan terdapat sebuah meja kayu berbentuk segi empat diatasnya terdapat sebuah buku, remot, keranjang dan papan catur .
000000344621.jpg#2	Di depan sudut ruangan terdapat sebuah meja kayu berbentuk segi empat diatasnya terdapat sebuah lampu berbentuk kerucut yang menyala .
000000344621.jpg#3	Di sisi kanan atas terdapat sebuah cermin yang berbentuk segi empat yang memeliki bingkai berwarna cokelat keemasan .
000000344621.jpg#4	Di depan terdapat sebuah pintu kayu yang memiliki kaca dan berbentuk segi empat .
000000356432.jpg#0	Terdapat dua buah sofa berwarna biru dan ada beberapa bantal dan selimut diatasnya .
000000356432.jpg#1	Di depan terdapat lima lukisan berwarna hitam putih dan semuanya saling terhubung .
000000356432.jpg#2	Terdapat sebuah meja hitam kaca yang berbentuk segi empat diatasnya terdapat sebuah keyboard .
000000356432.jpg#3	Di sisi kanan terdapat sebuah pintu berwarna putih dalam kedaan terbuka .
000000356432.jpg#4	Di sisi kiri terdapat sebuah meja kaca kecil yang berisi beberapa mainan dan diatasnya terdapat sebuah lampu berwarna merah .
000000366141.jpg#0	Di depan teradapat seekor kucing berwarna hitam putih yang sedang duduk di atas sofa berwarna putih .
000000366141.jpg#1	Terdapat dua buah sofa berwarna putih diatasnya terdapat seekor kucing dan beberapa bantal .
000000366141.jpg#2	Di sisi kanan terdapat sebuah televisi LED berwarna putih yang ditaruh di atas meja berwarna putih .
000000366141.jpg#3	Terdapat dua buah lukisan yang menempel di dinding berwarna kuning .
000000366141.jpg#4	Terdapat dua buah meja kayu yang masing-masing terdapat lampu meja diatasnya dan ditaruh berseberangan satu sama lain .
000000367195.jpg#0	Terdapat seekor anjing berjenis corgi yang sedang berbaring diatas karpet berbulu putih .
000000367195.jpg#1	Di sisi kanan terdapat sebuah sofa berwarna biru tua .
000000367195.jpg#2	Di sisi kanan terdapat jendela berbentuk segi empat dengan tirai yang terbuka .
000000367195.jpg#3	Di depan terdapat seseorang memakai sepatu berwarna hitam dengan kaus kaki berwarna putih .
000000367195.jpg#4	Di depan terdapat sebuah meja kayu berbentuk segi empat diatasnya terdapat sebuah mangkuk berwarna putih .
000000367569.jpg#0	Di depan terdapat sebuah meja kayu berbentuk persgi diatasnya terdapat sebuah laptop, pulpen, dan sebuah remot .
000000367569.jpg#1	Di depan terdapat sebuah piano berwarna hitam diatasnya terdapat sebuah buku yang berisi tangga nada .
000000367569.jpg#2	Di depan terdapat jendela yang tertutupi oleh tirai bermotif bunga dan berwarna cokelat .
000000367569.jpg#3	Di sisi kanan atas terdapat sebuah lukisan abstrak berbingkai hitam .
000000367569.jpg#4	Di sisi kiri terdapat sebuah sofa berwarna biru datasnya terdapat sebuah bantal berwarna hijau .
000000398377.jpg#0	Terdapat tiga orang wanita yang sedang duduk bersampingan di sebuah kereta .
000000398377.jpg#1	Terdapat sebuah bangku panjang berwarna hitam dan memiliki corak .
000000398377.jpg#2	Terdapat jendela berbentuk segi empat yang menampilkan suasana stasiun kereta .
000000398377.jpg#3	Di depan terdapat dua orang wanita yang sedang berbicara menggunakan telepon genggam .
000000398377.jpg#4	Seorang wanita berambut pirang sedang duduk di gerbong kereta seraya membawa tas yang bergambar wajah seseorang .
000000453722.jpg#0	Di sisi kiri terdapat pintu kaca berbentuk segi empat dengan tirai berwarna-warni .
000000453722.jpg#1	Di depan terdapat sebuah perapian yang terbuat dari bebatuan dan diatasnya terdapat sebuah lukisan .
000000453722.jpg#2	Terdapat dua buah sofa berwarna cokelat yang diletakkan saling berseberangan .
000000453722.jpg#3	Di depan terdapat sebuah rak kayu kecil diatasny terdapat sebuah televisi LED berwarna hitam .
000000453722.jpg#4	Di sisi kiri terdapat sebuah meja kayu berbentuk persegi diatasnya terdapat sebuah lampu meja dan beberapa botol .
000000455937.jpg#0	Seorang pria sedang bermain gim pertempuran menggunakan playstation .
000000455937.jpg#1	Terdapat sebuah bufet panjang berwarna hitam didalamnya terdapat bergai macam buku dan barang elektronik .
000000455937.jpg#2	Di sisi kiri terdapat jendela yang tertutup oleh tirai berwarna merah hitam .
000000455937.jpg#3	Di bawah terdapat sebuah karpet berbentuk segi empat dengan motif tradisional .
000000455937.jpg#4	Di depan terdapat sebuah lampu yang cukup tinggi dan memiliki batang berwarna putih .
000000463618.jpg#0	Terdapat seorang wanita yang sedang menggendong bayinya seraya bermain dengan seekor burung .
000000463618.jpg#1	Di depan terdapat sebuah sangkar burung berwarna cokelat dan didalamnya terdapat seekor burung berwarna putih .
000000463618.jpg#2	Di depan terdapat sebuah meja berbentuk segi empat berwarna abu-abu dan terdapat sebuah televisi tabung diatasnya .
000000463618.jpg#3	Di sisi kanan terdapat sebuah sofa berwarna hitam diatasnya terdapat selimut bercorak tumbuhan .
000000463618.jpg#4	Di bawah terdapat karpet bermotif bunga .
000000468505.jpg#0	Seorang pria sedang berada di sebuah restoran dihadapannya terdapat banyak makanan cepat saji .
000000468505.jpg#1	Di depan terdapat sebuah kursi berwarna merah dan memiliki bentuk setengah lingkaran .
000000468505.jpg#2	Di depan terdapat jendela berbentuk segi empat dan terdapat beberapa stiker yang menempal .
000000468505.jpg#3	Di sisi kiri terdapat dinding berwarna putih dan tedapat suatu gambar berwarna hitam di dinding tersebut .
000000468505.jpg#4	Terdapat sebuah meja berbentuk lingkaran dan diatasnya terdapat beberapa makanan cepat saji dan minuman bersoda .
000000482917.jpg#0	Di depan terdapat bufet televisi berwana cokelat dan didalamnya terdapat televisi dan pemutar DVD .
000000482917.jpg#1	Terdapat seekor anjing berwarna hitam putih yang sedang berbaring di sofa yang berwarna merah .
000000482917.jpg#2	Di sisi kiri terdapat meja kecil yang diatasnya terdapat sebuah kain putih .
000000482917.jpg#3	Di bawah terdapat karpet berwarna putih dan sebuah mainan anjing yang memiliki warna biru merah .
000000482917.jpg#4	Terdapat kaki seseorang yang memakai celana jeans dan sedang berbaring di sofa yang berwarna merah .
000000530061.jpg#0	Seorang anak perempuan sedang memakan sereal menggunakan mangkuk berwarna hitam .
000000530061.jpg#1	Terdapat meja kayu yang diatasnya terdapat mangkuk berwarna hitam dan beberapa butiran sereal yang berceceran .
000000530061.jpg#2	Di sisi kiri terdapat jendela kaca yang sebagian besarnya tertutup oleh tirai berwarna merah .
000000530061.jpg#3	Di sisi kiri terdapat tangan seseorang yang memakai baju bermotif garis hijau dan biru tua .
000000530061.jpg#4	Di sisi kiri terdapat sebuah sofa bercorak yang sedang diduduki oleh seseorang .
000000532901.jpg#0	Di sisi kanan terdapat sebuah lemari kayu berwarna cokelat tua didalamnya terdapat beberapa macam vas bunga .
000000532901.jpg#1	Terdapat sebuah jendela berbentuk segi empat dan memiliki warna putih dengan tirai berwarna merah muda .
000000532901.jpg#2	Terdapat sebuah tempat tidur berbentuk segi empat dengan selimut berwarna biru diatasnya terdapat beberapa bantal dan guling .
000000532901.jpg#3	Di depan terdapat sebuah lukisan bergambar seperti bangunan-bangunan tua dan memiliki bingkai berwarna keemasan 
000000532901.jpg#4	Di sisi kiri terdapat sebuah meja kayu berbentuk segi empat diatasnya tidak terdapat barang apapun .
000000536363.jpg#0	Di depan terdapat beberapa rak buku berbentuk segi empat yang semuanya penuh dengan berbagai macam buku .
000000536363.jpg#1	Terdapat dua buah kursi yang terbuat dari anyaman dan memiliki busa bermotif garis putih abu-abu .
000000536363.jpg#2	Di depan terdapat sebuah meja berbentuk lingkaran yang diatasnya terdapat vas bunga, lilin dan sebuah nampan .
000000536363.jpg#3	Di bawah terdapat karpet berwarna putih polos yang berbentuk segi empat .
000000536363.jpg#4	Di depan terdapat banyak buku yang diletakkan di rak buku dan terdiri dari berbagai warna dan bentuk .
000000541773.jpg#0	Di sisi kiri terdapat sebuah meja kayu berbenntuk segi empat diatasnya terdapat beberapa minuman beralkohol dan piring .
000000541773.jpg#1	Terdapat tiga orang sedang berdiri seraya meminum minuman beralkohol .
000000541773.jpg#2	Di sisi kiri terdapat sebuah jendela berbentuk segi empat dan memiliki bingkai berwarna putih .
000000541773.jpg#3	Di sudut kanan terdapat sebuah sofa berwarna hitam dan terdapat selimut yang bercorak diatasnya .
000000541773.jpg#4	Di depan kiri terdapat sebuah meja kayu kecil berbentuk segi empat diatasnya terdapat beberapa buku dan sebuah botol minuman .
000000546325.jpg#0	Terdapat sebuah sofa berwarna abu-abu dan terdapat dua buah bantal diatasnya .
000000546325.jpg#1	Di atas terdapat sebuah kipas angin yang digantung di langit-langit dan terdapat lampu yang menyala terang pada kipas tersebut .
000000546325.jpg#2	Di depan terdapat sebuah meja kayu berbentuk bulat diatasnya terdapat beberapa buku, sebuah boneka dan remot televisi .
000000546325.jpg#3	Terdapat dinding berwarna putih dan terdapat beberapa hisanan seperti foto dan tirai .
000000546325.jpg#4	Di depan terdapat jendela berbentuk segi empat dan tidak ditutupi oleh tirai .
000000555972.jpg#0	Terdapat sebuah bunga berwarna ungu yang diletakkan disebuah vas berwarna cokelat dengan motif tradisional .
000000555972.jpg#1	Terdapat sebuah meja kaca berbentuk lingkaran diatasnya terdapat sebuah vas bunga .
000000555972.jpg#2	Di sisi kiri terdapat sebuah sofa yang terbuat dari anyaman bambu dan berwana cokelat .
000000555972.jpg#3	Di depan terdapat sebuah meja kayu kecil berbentuk segi empat dan diatasnya terdapat beberapa buku .
000000555972.jpg#4	Di depan terdapat kabinet berwarna putih dengan aksen anyaman dan diatasnya terdapat beberapa hiasan seperti vas bunga dan teko keramik .
000000564280.jpg#0	Terdapat seekor anjing berwarna hitam putih yang sedang berbaring di atas sofa .
000000564280.jpg#1	Terdapat sofa berwarna merah diatasnya terdapat seekor anjing dan beberapa barang .
000000564280.jpg#2	Terdapat sebuah bingkai dan remot televisi yang diletakkan di atas sofa berdekatan dengan seekor anjing .
000000564280.jpg#3	Terdapat sebuah selimut berwarna putih yang ditaruh di atas sofa berwarna merah .
000000564280.jpg#4	Terdapat sebuah kontroler video gim yang diletakkan bersebelahan dengan remot televisi .
000000568584.jpg#0	Di depan terdapat dua buah sofa diatasnya terdapat beberapa bantal dan selimut .
000000568584.jpg#1	Terdapat bayangan seorang laki-laki yang memakai baju berwarna merah sedang duduk di atas sofa .
000000568584.jpg#2	Di depan terdapat sebuah lampu yang setinggi orang dewasa dengan bentuk kerucut dan nyalanya terang .
000000568584.jpg#3	Terdapat dinding berwarna putih dengan aksen garis dan banyak foto yang ditempel .
000000568584.jpg#4	Di sisi kiri terdapat jendela berbentuk segi empat dengan tirai berwarna putih yang dibiarkan terbuka .
000000574315.jpg#0	Terdapat seekor kucing sedang berbaring seraya memainkan laptop .
000000574315.jpg#1	Terdapat seseorang dengan baju berwarna merah sedang duduk di sofa dan bersebelahan dengan seekor kucing .
000000574315.jpg#2	Terdapat sebuah lapto berwarna abu-abu yang diletakkan di atas sofa dan sedang dimainkan oleh seekor kucing .
000000574315.jpg#3	Terdapat sebuah sofa berwarna cokelat diatasnya terdapat sebuah laptop, seekor kucing dan seseorang yang sedang duduk .
000000574315.jpg#4	Terdapat seseorang dengan celana berwarna biru tua sedang duduk di sofa bersebelahan dengan seekor kucing .
